Cancer Type,Year,Age_Group (years),Age_Specific Rate,Case_Count,Population
Testis,2015-2019, 35-39,12.3,6414,52281902
Testis,2015-2019, 40-44,8.8,4260,48684315
Testis,2015-2019, 45-49,6.1,3089,50824968
Testis,2015-2019, 50-54,4.4,2283,51970279
Testis,2015-2019, 55-59,3.2,1681,52715886
Testis,2015-2019, 60-64,2.2,1026,47053949
Testis,2015-2019, 65-69,1.6,620,39246944
Testis,2015-2019, 70-74,1.1,314,29054777
Testis,2015-2019, 75-79,0.9,180,19467664
Testis,2015-2019, 80-84,0.8,103,12512680
Testis,2015-2019, 85+,0.9,101,11312647
Testis,2019, <1,Data Suppressed,Data Suppressed,1902716
Testis,2019, 1-4,0.3,22,8003553
Testis,2019, 5-9,Data Suppressed,Data Suppressed,10236116
Testis,2019, 10-14,0.2,26,10527360
Testis,2019, 15-19,3.2,345,10658479
Testis,2019, 20-24,9.7,1061,10972802
Testis,2019, 25-29,13.4,1593,11902915
Testis,2019, 30-34,14.2,1601,11255094
Testis,2019, 35-39,12.2,1314,10783140
Testis,2019, 40-44,9.2,906,9807440
Testis,2019, 45-49,5.9,592,9981645
Testis,2019, 50-54,4,401,9983476
Testis,2019, 55-59,3.4,357,10540101
Testis,2019, 60-64,2.1,206,9760807
Testis,2019, 65-69,1.8,148,8113626
Testis,2019, 70-74,1.1,72,6432172
Testis,2019, 75-79,0.9,38,4273018
Testis,2019, 80-84,1,26,2652937
Testis,2019, 85+,0.9,21,2355434
Female Breast,2019, <1,Data Suppressed,Data Suppressed,1823731
Female Breast,2019, 1-4,Data Suppressed,Data Suppressed,7655419
Female Breast,2019, 5-9,Data Suppressed,Data Suppressed,9791993
Female Breast,2019, 10-14,Data Suppressed,Data Suppressed,10092907
Female Breast,2019, 15-19,0.2,24,10224650
Female Breast,2019, 20-24,1.8,184,10487311
Female Breast,2019, 25-29,10.5,1192,11405591
Female Breast,2019, 30-34,30.1,3305,10983982
Female Breast,2019, 35-39,64.8,6964,10754701
Female Breast,2019, 40-44,131.7,13064,9917482
Female Breast,2019, 45-49,201,20518,10208278
Female Breast,2019, 50-54,240.7,24768,10291892
Female Breast,2019, 55-59,273.3,30422,11132924
Female Breast,2019, 60-64,339.8,36064,10613624
Female Breast,2019, 65-69,425.2,38975,9166314
Female Breast,2019, 70-74,475.8,35472,7455339
Female Breast,2019, 75-79,466.1,24628,5283940
Female Breast,2019, 80-84,420.7,15175,3607299
Female Breast,2019, 85+,318.2,13360,4198974
Female Breast,2015-2019, <1,Data Suppressed,Data Suppressed,9405251
Female Breast,2015-2019, 1-4,Data Suppressed,Data Suppressed,38581284
Female Breast,2015-2019, 5-9,Data Suppressed,Data Suppressed,49292494
Female Breast,2015-2019, 10-14,Data Suppressed,Data Suppressed,50318528
Female Breast,2015-2019, 15-19,0.2,96,51154242
Female Breast,2015-2019, 20-24,1.7,920,53455379
Female Breast,2015-2019, 25-29,10.4,5875,56274214
Female Breast,2015-2019, 30-34,30.5,16444,53997406
Female Breast,2015-2019, 35-39,63.4,33161,52285936
Female Breast,2015-2019, 40-44,129.1,63700,49353262
Female Breast,2015-2019, 45-49,196.2,101770,51859548
Female Breast,2015-2019, 50-54,233.7,125653,53766649
Female Breast,2015-2019, 55-59,270,150520,55737883
Female Breast,2015-2019, 60-64,337.4,173139,51317815
Female Breast,2015-2019, 65-69,427.5,188486,44094136
Female Breast,2015-2019, 70-74,474.4,160279,33789020
Female Breast,2015-2019, 75-79,460.5,111512,24216090
Female Breast,2015-2019, 80-84,412.6,71372,17298934
Female Breast,2015-2019, 85+,319.7,66278,20730332
